CompID,SiteID,DP,AnimalID,AnimalSpecies,AnimalStrain,AnimalAge,AnimalSex,AnimalWeight,MRvendor,MRfield,MRcoil,Cryoprobe,MRsequence,MRbrainregion,MRVoxSize,MRvoxelvolume,MRaverages,MRsoftwareversion,MRSsw,MRSnpts,MRSTE,MRSTR,MRSshim,LW,LW_hz,SNR,SNR_LW_Ratio,CompCheck
compMRS028,S03,DP04,sub-04,Mouse,C57BL-6J,93,M,28,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Lhippocampus,2.2 x 1.2 x 2.5,6.6,512,PV6.0.1,4401.4,2048,8.26,2500,MAPSHIM,0.0219629698649272,8.79247946314556,110.42173667365,5027.63229894435,pass
compMRS029,S03,DP04,sub-05,Mouse,C57BL-6J,109,F,23,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Lhippocampus,2.2 x 1.2 x 2.5,6.6,512,PV6.0.1,4401.4,2048,8.26,2500,MAPSHIM,0.0205222515947519,8.21572418965657,118.673621374454,5782.68036655406,pass
compMRS030,S03,DP04,sub-06,Mouse,C57BL-6J,110,F,21,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Lhippocampus,2.2 x 1.2 x 2.5,6.6,512,PV6.0.1,4401.4,2048,8.26,2500,MAPSHIM,0.023425466892119,9.37793419365268,98.5528131835474,4207.07999705668,pass
compMRS031,S03,DP04,sub-07,Mouse,C57BL-6J,109,F,22,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Lhippocampus,2.2 x 1.2 x 2.5,6.6,512,PV6.0.1,4401.4,2048,8.26,2500,MAPSHIM,0.0258161711324048,10.3350102219585,70.5324648269281,2732.10401593577,pass
compMRS032,S03,DP04,sub-08,Mouse,C57BL-6J,109,F,20,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Lhippocampus,2.2 x 1.2 x 2.5,6.6,512,PV6.0.1,4401.4,2048,8.26,2500,MAPSHIM,0.0218793183975789,8.75898294260935,78.4703089190722,3586.50610101984,pass
compMRS033,S04,DP05,sub-01,Mouse,C57BL-6J,93,F,24.5,Bruker,7,"2-channel phased-array cooled surface coil for transmission/reception",FALSE,PRESS,Rhippocampus,1.2 x 2.0 x 2.2,5.28,256,PV7.0.0,4006.4,2048,20,4000,MAPSHIM,0.0331435249899176,9.95395498216046,54.0680383745631,1631.33035460201,pass
compMRS034,S04,DP05,sub-02,Mouse,C57BL-6J,93,M,28.2,Bruker,7,"2-channel phased-array cooled surface coil for transmission/reception",FALSE,PRESS,Rhippocampus,1.2 x 2.0 x 2.2,5.28,256,PV7.0.0,4006.4,2048,20,4000,MAPSHIM,0.0224774147437856,6.75061678695214,66.9058952633809,2976.58320701132,pass
compMRS035,S04,DP05,sub-03,Mouse,C57BL-6J,99,M,27.5,Bruker,7,"2-channel phased-array cooled surface coil for transmission/reception",FALSE,PRESS,Rhippocampus,1.2 x 2.0 x 2.2,5.28,256,PV7.0.0,4006.4,2048,20,4000,MAPSHIM,0.0278344414747701,8.35948712060501,55.1790775413284,1982.40290150403,pass
compMRS036,S04,DP05,sub-04,Mouse,C57BL-6J,99,M,27.1,Bruker,7,"2-channel phased-array cooled surface coil for transmission/reception",FALSE,PRESS,Rhippocampus,1.2 x 2.0 x 2.2,5.28,256,PV7.0.0,4006.4,2048,20,4000,MAPSHIM,0.0268687119868606,8.06945273012953,62.1586281292673,2313.42046316415,pass
compMRS037,S04,DP05,sub-05,Mouse,C57BL-6J,122,F,24.1,Bruker,7,"2-channel phased-array cooled surface coil for transmission/reception",FALSE,PRESS,Rhippocampus,1.2 x 2.0 x 2.2,5.28,256,PV7.0.0,4006.4,2048,20,4000,MAPSHIM,0.0197377338985121,5.9278141674348,65.6100641504157,3324.09305383135,pass
