CompID,SiteID,DP,SubjectInDP,AnimalID,AnimalSpecies,AnimalStrain,AnimalAge,AnimalSex,AnimalWeight,MRvendor,MRfield,MRsequence,MRbrainregion,MRvoxelvolume,MRaverages,MRsoftwareversion,MRcoildetail,MRSsw,MRSnpts,MRSTE,MRSTR,MRSshimmethod,LW,SNR,SNR_LW_Ratio,CompCheck
"compMRS030","S03","DP04",6,"sub-06","Mouse","C57BL-6J",110,"F",21,"Bruker",9.4,"PRESS","Lhippocampus",6.6,512,"PV6.0.1","Tx: 86mm volume coil. Rx: 4ch array",4401.4,2048,8.26,2500,"MAPSHIM",16.4887444386007,92.9560633315392,5.63754648983012,"pass"
"compMRS031","S03","DP04",7,"sub-07","Mouse","C57BL-6J",109,"F",22,"Bruker",9.4,"PRESS","Lhippocampus",6.6,512,"PV6.0.1","Tx: 86mm volume coil. Rx: 4ch array",4401.4,2048,8.26,2500,"MAPSHIM",12.9622529352317,75.7716745720915,5.84556364936702,"pass"
"compMRS032","S03","DP04",8,"sub-08","Mouse","C57BL-6J",109,"F",20,"Bruker",9.4,"PRESS","Lhippocampus",6.6,512,"PV6.0.1","Tx: 86mm volume coil. Rx: 4ch array",4401.4,2048,8.26,2500,"MAPSHIM",24.6189734806697,56.0387520392395,2.27624243079184,"pass"
"compMRS033","S04","DP05",1,"sub-01","Mouse","C57BL-6J",93,"F",24.5,"Bruker",7,"PRESS","Rhippocampus",5.28,256,"PV7.0.0","",4006.4,2048,20,4000,"MAPSHIM",15.2545280867317,55.4507145091297,3.6350330992776,"pass"
"compMRS034","S04","DP05",2,"sub-02","Mouse","C57BL-6J",93,"M",28.2,"Bruker",7,"PRESS","Rhippocampus",5.28,256,"PV7.0.0","",4006.4,2048,20,4000,"MAPSHIM",NaN,NaN,NaN,"fail"
"compMRS035","S04","DP05",3,"sub-03","Mouse","C57BL-6J",99,"M",27.5,"Bruker",7,"PRESS","Rhippocampus",5.28,256,"PV7.0.0","",4006.4,2048,20,4000,"MAPSHIM",11.2145773798405,56.0427076703648,4.99730892856542,"pass"
"compMRS036","S04","DP05",4,"sub-04","Mouse","C57BL-6J",99,"M",27.1,"Bruker",7,"PRESS","Rhippocampus",5.28,256,"PV7.0.0","",4006.4,2048,20,4000,"MAPSHIM",11.0337033743646,59.2617812361813,5.3709782858463,"pass"
"compMRS037","S04","DP05",5,"sub-05","Mouse","C57BL-6J",122,"F",24.1,"Bruker",7,"PRESS","Rhippocampus",5.28,256,"PV7.0.0","",4006.4,2048,20,4000,"MAPSHIM",8.49633680022343,62.3454340493797,7.33791933103925,"pass"
"compMRS038","S04","DP05",6,"sub-06","Mouse","C57BL-6J",122,"M",30.4,"Bruker",7,"PRESS","Rhippocampus",5.28,256,"PV7.0.0","",4006.4,2048,20,4000,"MAPSHIM",8.65214286127475,61.5294507293708,7.11146957648657,"pass"
"compMRS039","S04","DP05",7,"sub-07","Mouse","C57BL-6J",65,"M",24.1,"Bruker",7,"PRESS","Rhippocampus",5.28,256,"PV7.0.0","",4006.4,2048,20,4000,"MAPSHIM",11.1119448680322,54.5114703684127,4.90566422132242,"pass"
"compMRS040","S04","DP05",8,"sub-08","Mouse","C57BL-6J",65,"M",25,"Bruker",7,"PRESS","Rhippocampus",5.28,256,"PV7.0.0","",4006.4,2048,20,4000,"MAPSHIM",10.2031262229092,56.1218053507144,5.50045193253645,"pass"
"compMRS041","S05","DP06",1,"sub-01","Mouse","C57BL-6J",144,"M",27.7,"Bruker",7,"sLASER","Rhippocampus",3.906,256,"PV360 v3.5","",6060.6,2048,20.7,4000,"MAPSHIM",8.6149873257391,122.328408918505,14.1994879728985,"pass"
